Label,Content
Actual Shipper,"ICM JAPAN
KANAGAWA-KEN,YOKOHAMA,KANAGAWA-KU,
KINKO-CHO 6-3,
YOKOHAMA KINKO CHO BLD 7F,
POSTAL CODE - 221-0056
TEL 045-444-4321 FAX 045-444-4322"
Booking Number,EBKG06965874
Shipping Comp Name,MSC(JAPAN)K.K.
Vessel Number,"VESSEL MSC ODESSA V
VOY HI345A"
B/L Original,THREE(3)
Port Of Loading,"NAGOYA, JAPAN"
Place Of Delivery,DUBLIN CY
Port Of Discharge,"DUBLIN, IRELAND"
Port Of Receipt,NAGOYA CY
Discharge ETA,2023/12/26
VIA,"TANJUNG PELEPAS, MALAYSIA"
CUT,2023/11/08
LOADING ETA-ETD,2023/11/09-2023/11/09
B/L PLACE OF ISSUE,TOKYO
FREIGHT,Prepaid As Arranged
B/L Copy,3
B/L TYPE,Original
SHIPPER,"ACTUAL NAME
ADDRESS
TEL & FAX NO"
CONSIGNEE,"ACTUAL NAME
ADDRESS
TEL & FAX NO 必須"
NOTIFY,SAME AS CONSIGNEE
REMARKS,"1.船社指定DOCK-RECEIPTを使用してください。（NACCS/ACLデータ送信）
2.B/L 作成の為、カット当日の16:00PMまでに、Dock-Receipt (NACCS/ACL) COPYと
Shipping Instructionを弊社までご送付頂きますよう、宜しくお願い致します。
EMAIL: ms-document9191@marineosaka.com
*ATTACHED SHEETはエクセルデータで送信お願い致します。
3.DOCK-RECEIPT右上のFAX SERVICE欄に、FAX:06-6243-9192と明記願います。
4.B/L TYPE: WAYBILL /FREIGHT AS ARRANGED と指示願います。
5.6桁のH.S. CODEをタイプ願います。"
